run_id,scenario,instance_id,policy,mesh_rows,mesh_cols,effective_regions,branch_fanout,jct,time_to_first_success,success_any,prefill_tokens,prefill_tokens_avoided,kv_hit_tokens,kv_miss_tokens,noc_bytes,avg_hops,hotspot_ratio,region_utilization,tool_blocked_region_time,blocked_compute_time_avoided,branch_wait_time,state_migration_exposed_latency,branch_wasted_tokens,safe_cancellation_savings,hot_count,warm_count,cold_count,resume_prefill_tokens,p50,p95,p99
mini_swe_lite5_patchcap_verified,django__django-11848,django__django-11848,naive_wafer,6,6,36,1,17.781723044042195,17.781723044042195,False,43514,0,0,43514,0.0,0.0,1.0,0.8180709749006901,0.0,3.3809285163879395,0.0,0.0,0,0,0,0,0,40224,,,
mini_swe_lite5_patchcap_verified,django__django-11964,django__django-11964,naive_wafer,6,6,36,1,21.954819709802493,21.954819709802493,False,167375,0,0,167375,0.0,0.0,1.0,0.8814321822554181,0.0,2.7652580738067627,0.0,0.0,0,0,0,0,0,163347,,,
mini_swe_lite5_patchcap_verified,django__django-12308,django__django-12308,naive_wafer,6,6,36,1,34.56100178932852,34.56100178932852,False,60383,0,0,60383,0.0,0.0,1.0,0.7680791189240366,0.0,8.3233642578125,0.0,0.0,0,0,0,0,0,57227,,,
mini_swe_lite5_patchcap_verified,django__django-12708,django__django-12708,naive_wafer,6,6,36,1,14.450475344324131,14.450475344324131,False,69546,0,0,69546,0.0,0.0,1.0,0.8173522055512825,0.0,2.79976487159729,0.0,0.0,0,0,0,0,0,66106,,,
mini_swe_lite5_patchcap_verified,django__django-13028,django__django-13028,naive_wafer,6,6,36,1,25.441375935855145,25.441375935855145,False,138677,0,0,138677,0.0,0.0,1.0,0.8689474535178833,0.0,3.4874725341796875,0.0,0.0,0,0,0,0,0,134348,,,
mini_swe_lite5_patchcap_verified,AGGREGATE,AGGREGATE,naive_wafer,6,6,36,1.0,22.837879164670497,22.837879164670497,False,479495,0,0,479495,0.0,0.0,1.0,0.8307763870298622,0.0,20.75678825378418,0.0,0.0,0,0,0,0,0,461252,21.954819709802493,32.73707661863384,34.19621675518959
mini_swe_lite5_patchcap_verified,django__django-11848,django__django-11848,static_branch_pinning,6,6,36,1,17.781723044042195,17.781723044042195,False,43514,0,0,43514,0.0,0.0,1.0,0.8098649659533008,3.3809285163879395,0.0,0.0,0.0,0,0,0,0,0,40224,,,
mini_swe_lite5_patchcap_verified,django__django-11964,django__django-11964,static_branch_pinning,6,6,36,1,21.954819709802493,21.954819709802493,False,167375,0,0,167375,0.0,0.0,1.0,0.8740477894896073,2.7652580738067627,0.0,0.0,0.0,0,0,0,0,0,163347,,,
mini_swe_lite5_patchcap_verified,django__django-12308,django__django-12308,static_branch_pinning,6,6,36,1,34.56100178932852,34.56100178932852,False,60383,0,0,60383,0.0,0.0,1.0,0.7591688947979939,8.3233642578125,0.0,0.0,0.0,0,0,0,0,0,57227,,,
mini_swe_lite5_patchcap_verified,django__django-12708,django__django-12708,static_branch_pinning,6,6,36,1,14.450475344324131,14.450475344324131,False,69546,0,0,69546,0.0,0.0,1.0,0.806251019092117,2.79976487159729,0.0,0.0,0.0,0,0,0,0,0,66106,,,
mini_swe_lite5_patchcap_verified,django__django-13028,django__django-13028,static_branch_pinning,6,6,36,1,25.441375935855145,25.441375935855145,False,138677,0,0,138677,0.0,0.0,1.0,0.8629212294581635,3.4874725341796875,0.0,0.0,0.0,0,0,0,0,0,134348,,,
mini_swe_lite5_patchcap_verified,AGGREGATE,AGGREGATE,static_branch_pinning,6,6,36,1.0,22.837879164670497,22.837879164670497,False,479495,0,0,479495,0.0,0.0,1.0,0.8224507797582365,20.75678825378418,0.0,0.0,0.0,0,0,0,0,0,461252,21.954819709802493,32.73707661863384,34.19621675518959
mini_swe_lite5_patchcap_verified,django__django-11848,django__django-11848,wafer_fcfs,6,6,36,1,17.781723044042195,17.781723044042195,False,43514,0,0,43514,0.0,0.0,1.0,0.8180709749006901,0.0,3.3809285163879395,0.0,0.0,0,0,0,0,0,40224,,,
mini_swe_lite5_patchcap_verified,django__django-11964,django__django-11964,wafer_fcfs,6,6,36,1,21.954819709802493,21.954819709802493,False,167375,0,0,167375,0.0,0.0,1.0,0.8814321822554181,0.0,2.7652580738067627,0.0,0.0,0,0,0,0,0,163347,,,
mini_swe_lite5_patchcap_verified,django__django-12308,django__django-12308,wafer_fcfs,6,6,36,1,34.56100178932852,34.56100178932852,False,60383,0,0,60383,0.0,0.0,1.0,0.7680791189240366,0.0,8.3233642578125,0.0,0.0,0,0,0,0,0,57227,,,
mini_swe_lite5_patchcap_verified,django__django-12708,django__django-12708,wafer_fcfs,6,6,36,1,14.450475344324131,14.450475344324131,False,69546,0,0,69546,0.0,0.0,1.0,0.8173522055512825,0.0,2.79976487159729,0.0,0.0,0,0,0,0,0,66106,,,
