run_id,sessions,arrival_pattern,policy,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,model_side_latency,tool_time,ready_queue_wait,region_utilization,tool_blocked_compute_waste,resume_latency,prefill_tokens_avoided,resume_prefill_tokens,state_prefetch_bytes,exposed_state_migration_latency,completed_sessions,predictor_median_abs_error,predictor_p95_abs_error,taps_predictive_gain_vs_acd_nisp,taps_oracle_gap
pr4_algo_v2,1,closed_loop,naive_wafer,0.008060252403911054,124.06559371698742,124.06559371698742,124.06559371698742,124.06559371698742,18.23467135179883,105.8309223651886,0.0,0.03674401339946614,105.8309223651886,0.0,0,0,0,0.0,1,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,1,closed_loop,acd_nisp,0.008157942495550168,122.57992754244836,122.57992754244836,122.57992754244836,122.57992754244836,16.749005177259765,105.8309223651886,0.0,0.0341593552734393,0.0,0.0,37051,2695,0,0.0,1,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,1,closed_loop,acd_cdf_nisp,0.008157942495550168,122.57992754244836,122.57992754244836,122.57992754244836,122.57992754244836,16.749005177259765,105.8309223651886,0.0,0.0341593552734393,0.0,0.0,37051,2695,0,0.0,1,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,1,closed_loop,taps,0.008158056209482126,122.57821891907263,122.57821891907263,122.57821891907263,122.57821891907263,16.747296553884013,105.8309223651886,0.0,0.03415634666086303,0.0,0.0,37096,2650,2124652544,0.0,1,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,1,closed_loop,taps_oracle,0.008158056209482126,122.57821891907263,122.57821891907263,122.57821891907263,122.57821891907263,16.747296553884013,105.8309223651886,0.0,0.03415634666086303,0.0,0.0,37096,2650,2124652544,0.0,1,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,1,closed_loop,taps_predictive,0.008158056209482126,122.57821891907263,122.57821891907263,122.57821891907263,122.57821891907263,16.747296553884013,105.8309223651886,0.0,0.03415634666086303,0.0,0.0,37096,2650,2124652544,0.0,1,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,2,closed_loop,naive_wafer,0.01612050480782211,66.0313917269453,66.0313917269453,118.2621735179832,122.90490967718658,24.917709324786006,107.14507412910461,0.0,0.050210756621265826,107.14507412910461,0.0,0,0,0,0.0,2,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,2,closed_loop,acd_nisp,0.016315884991100336,64.80679873502626,64.80679873502626,116.80261466170614,121.42446496629992,22.468523340947915,107.14507412910461,0.0,0.04582423034384496,0.0,0.0,61225,5568,0,0.0,2,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,2,closed_loop,acd_cdf_nisp,0.016315884991100336,64.80679873502626,64.80679873502626,116.80261466170614,121.42446496629992,22.468523340947915,107.14507412910461,0.0,0.04582423034384496,0.0,0.0,61225,5568,0,0.0,2,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,2,closed_loop,taps,0.016316112418964253,64.80183457020273,64.80183457020273,116.80058048418563,121.42269123209523,22.45859501130082,107.14507412910461,0.0,0.045804620122046745,0.0,0.0,61486,5307,3510886400,0.0,2,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,2,closed_loop,taps_oracle,0.016316112418964253,64.80183457020273,64.80183457020273,116.80058048418563,121.42269123209523,22.45859501130082,107.14507412910461,0.0,0.045804620122046745,0.0,0.0,61486,5307,3510886400,0.0,2,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,2,closed_loop,taps_predictive,0.016316112418964253,64.80183457020273,64.80183457020273,116.80058048418563,121.42269123209523,22.45859501130082,107.14507412910461,0.0,0.045804620122046745,0.0,0.0,61486,5307,3510886400,0.0,2,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,4,closed_loop,naive_wafer,0.03224100961564422,54.96282039683656,43.89424906672781,116.64754768721835,122.58198451103361,44.02906984494513,175.82221174240112,0.0,0.08872135401492166,175.82221174240112,0.0,0,0,0,0.0,4,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,4,closed_loop,acd_nisp,0.03263176998220067,53.68354396686899,42.56028919871172,115.2436480695915,121.11267164787701,38.91196412507484,175.82221174240112,0.0,0.07936039143031791,0.0,0.0,127644,11673,0,0.0,4,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,4,closed_loop,acd_cdf_nisp,0.03263176998220067,53.68354396686899,42.56028919871172,115.2436480695915,121.11267164787701,38.91196412507484,175.82221174240112,0.0,0.07936039143031791,0.0,0.0,127644,11673,0,0.0,4,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,4,closed_loop,taps,0.032632224837928506,53.68020757276934,42.55858057533597,115.24193944621577,121.11096302450126,38.89861854867624,175.82221174240112,0.0,0.07933427914782622,0.0,0.0,127995,11322,7319617536,0.0,4,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,4,closed_loop,taps_oracle,0.032632224837928506,53.68020757276934,42.55858057533597,115.24193944621577,121.11096302450126,38.89861854867624,175.82221174240112,0.0,0.07933427914782622,0.0,0.0,127995,11322,7319617536,0.0,4,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,4,closed_loop,taps_predictive,0.032632224837928506,53.68020757276934,42.55858057533597,115.24193944621577,121.11096302450126,38.89861854867624,175.82221174240112,0.0,0.07933427914782622,0.0,0.0,127995,11322,7319617536,0.0,4,0.048296380043029774,4.715807461738587,1.3939045540002148e-05,0.0
pr4_algo_v2,8,closed_loop,naive_wafer,0.06373575019887884,39.631416159754046,19.536701463878643,109.2069292109988,122.25598800863948,84.85441388008225,199.922509431839,32.27440596611116,0.16900811644791247,160.82336735725403,0.0,0,0,0,0.0,8,0.048296380043029774,4.715807461738587,0.0016172350560957176,0.0
